input_text,target_text
"context: 1588 में स्पेनिश आर्मडा की हार के तुरंत बाद, लंदन के व्यापारियों ने हिंद महासागर में जाने की अनुमति के लिए क्वीन एलिजाबेथ I को एक याचिका प्रस्तुत की।अनुमति दी गई थी, और 1589 में अंग्रेजी आर्मडा की हार के बावजूद, 10 अप्रैल 1591 को तीन जहाजों ने टोरबे से केप ऑफ गुड होप के आसपास अरब सागर के लिए रवाना हुए, जो कि शुरुआती अंग्रेजी विदेशी भारतीय अभियानों में से एक थे।उनमें से एक, एडवर्ड बोनवेंचर, फिर केप कोमोरिन के आसपास और मलय प्रायद्वीप में रवाना हुए और बाद में 1594 में इंग्लैंड लौट आए।",question: हिंद महासागर को पालने की अनुमति पाने के लिए लंदन के व्यापारियों ने किसने याचिका दायर की? answer: रानी एलिजाबेथ मैं
"context: तुर्की: 3 अप्रैल को आयोजित इस्तांबुल में मशाल रिले लेग, सुल्तानहमेट स्क्वायर पर शुरू हुआ और टकसिम स्क्वायर में समाप्त हुआ।तुर्की में रहने वाले उइगर ने शिनजियांग में रहने वाले अपने हमवतन के चीनी उपचार में विरोध किया।रिले को बाधित करने की कोशिश करने वाले कई प्रदर्शनकारियों को तुरंत पुलिस ने गिरफ्तार कर लिया।",question: इस्तांबुल में मशाल कहाँ समाप्त हुई? answer: टकसीम स्क्वेयर
"context: 1991 की शुरुआत में, सूडान के ज़ागवा जनजाति के गैर-अरबों ने कहा कि वे एक तीव्र अरब रंगभेद अभियान के शिकार थे, अरबों और गैर-अरबों (विशेष रूप से उप-सहारा अफ्रीकी वंश के लोग) को अलग कर रहे थे।सूडानी अरब, जिन्होंने सरकार को नियंत्रित किया था, को व्यापक रूप से सूडान के गैर-अरब नागरिकों के खिलाफ रंगभेद का अभ्यास करने के लिए संदर्भित किया गया था।सरकार पर रंगभेद और जातीय सफाई की नीतियों को अंजाम देने के लिए ""चतुराई से मारीपुलात (आईएनजी) अरब एकजुटता"" का आरोप लगाया गया था।",question: ये लोग कहाँ रहते थे? answer: सूडान
"context: ईरान में कार-निर्माण और परिवहन, निर्माण सामग्री, घरेलू उपकरणों, खाद्य और कृषि वस्तुओं, हथियारों, फार्मास्यूटिकल्स, सूचना प्रौद्योगिकी, बिजली और पेट्रोकेमिकल्स के क्षेत्र में प्रमुख निर्माण उद्योग हैं।एफएओ के अनुसार, ईरान 2012 में दुनिया में निम्नलिखित कृषि उत्पादों के शीर्ष पांच उत्पादक रहे हैं: खुबानी, चेरी, खट्टा चेरी, खीरे और गेरकिंस, खजूर, तारीखें, बैंगन, अंजीर, पिस्ता, क्विंकस, अखरोट और तरबूज।",question: 2012 में दुनिया में ईरान एक शीर्ष 5 निर्माता क्या तरबूज है? answer: तरबूज़
"context: आनुवांशिक अध्ययनों में अरब प्रायद्वीप और पड़ोसी देशों में अरब समुदायों में महत्वपूर्ण अफ्रीकी महिला-मध्यस्थता जीन प्रवाह पाया गया है, यमन में औसतन 38% मातृ वंशावली प्रत्यक्ष अफ्रीकी मूल के हैं, ओमान-क़तर में 16%, और सऊदी अरब-संयुक्त अरब अमीरात में 10%।",question: आनुवंशिक अध्ययन में पाया गया है कि अरब समुदायों में कौन सा जीन है? answer: अफ्रीकी महिला-मध्यस्थ जीन
"context: न्यायपालिका के भ्रष्टाचार के दो तरीके हैं: राज्य (बजट योजना और विभिन्न विशेषाधिकारों के माध्यम से), और निजी।कई संक्रमणकालीन और विकासशील देशों में न्यायपालिका का बजट कार्यकारी द्वारा लगभग पूरी तरह से नियंत्रित है।उत्तरार्द्ध शक्तियों के पृथक्करण को कम करता है, क्योंकि यह न्यायपालिका की एक महत्वपूर्ण वित्तीय निर्भरता बनाता है।न्यायपालिका पर सरकारी खर्च सहित उचित राष्ट्रीय धन वितरण संवैधानिक अर्थशास्त्र का विषय है।विकसित देशों में भी न्यायिक भ्रष्टाचार पूरी तरह से मिटाना मुश्किल हो सकता है।",question: न्यायपालिका के धन पर कार्यकारी शाखा नियंत्रण क्या करती है? answer: शक्तियों को अलग करना
"context: परंपरागत रूप से राजपूतों, जाटों, मीनास, गुर्जर, भिल्स, राजपुरोहित, चरन, यादव्स, बिश्नो, उपदेश, फुलमली (सैनी) और अन्य जनजातियों ने राजस्थान राज्य के निर्माण में एक महान योगदान दिया।इन सभी जनजातियों को अपनी संस्कृति और भूमि की रक्षा में बड़ी कठिनाइयों का सामना करना पड़ा।उनमें से लाखों लोग उनकी जमीन की रक्षा के लिए मारे गए थे।भिंकल और अजमेर क्षेत्रों में कई गुर्जर को भगाया गया था, जो आक्रमणकारियों के साथ लड़ रहे थे।भिल्स ने एक बार कोटा पर शासन किया।मीनास बुंडी और धुंधार क्षेत्र के शासक थे।",question: जाटों ने किस राज्य के निर्माण में सहायता की? answer: राजस्थान
"context: प्रकाश स्रोत रंग गुणों को परिभाषित करने के लिए, प्रकाश उद्योग मुख्य रूप से दो मेट्रिक्स, सहसंबद्ध रंग तापमान (सीसीटी) पर निर्भर करता है, आमतौर पर एक स्रोत द्वारा उत्सर्जित प्रकाश के स्पष्ट ""गर्मी"" या ""शीतलता"" के संकेत के रूप में उपयोग किया जाता है, और रंग प्रतिपादन सूचकांक (सीआरआई), प्रकाश स्रोत की क्षमता का एक संकेत है जो वस्तुओं को प्राकृतिक रूप से प्रकट करता है।",question: क्या मीट्रिक इंगित करता है कि ऑब्जेक्ट को प्राकृतिक बनाने के लिए रोशनी की क्षमता है? answer: सीआरआई
"context: 3 मार्च, 1944 को, स्टालिन के आदेशों पर, चेचन-इंगुश एएसआरआर को भंग कर दिया गया था और इसकी आबादी को आक्रमणकारियों और अलगाववाद के साथ सहयोग के आरोपों पर जबरन निर्वासित कर दिया गया था।ASSR के क्षेत्र को रूसी SFSR और जॉर्जियाई SSR की अन्य प्रशासनिक इकाई के बीच विभाजित किया गया था।",question: चेचेन-इन्ज़ा अस्र के निवासियों के निर्वासन का आदेश किसने किया? answer: स्टालिन
"context: बहुकोशिकीय जीवों के लिए, आमतौर पर भ्रूण को इंजीनियर किया जाता है जो वयस्क आनुवंशिक रूप से संशोधित जीव में बढ़ता है।हालांकि, एक वयस्क जीव में कोशिकाओं के जीनोम को आनुवंशिक रोगों के इलाज के लिए जीन थेरेपी तकनीकों का उपयोग करके संपादित किया जा सकता है।",question: आमतौर पर जीव का कौन सा हिस्सा बनाया जाता है जो एक विकसित आनुवंशिक रूप से परिवर्तित जीव बन जाता है? answer: भ्रूण
